Transaction_ID,User_ID,Order_Date,Product_Category,Revenue,Channel,Region
100001,4174,2025-10-02,Support Plan,464.94,LinkedIn Ad,APAC
100002,4507,2025-01-31,SaaS Premium,464.94,Email Campaign,APAC
100003,1860,2025-11-13,Support Plan,464.94,Direct,North America
100004,2294,2024-01-27,SaaS Premium,464.94,Email Campaign,North America
100005,2130,2025-12-11,SaaS Basic,464.94,Organic Search,North America
100006,2095,2025-01-06,Consulting,464.94,Referral,LATAM
100007,4772,2024-04-06,SaaS Basic,464.94,Direct,APAC
100008,4092,2025-06-12,Consulting,464.94,Organic Search,LATAM
100009,2638,2025-11-15,SaaS Basic,464.94,Organic Search,LATAM
100010,3169,2025-09-04,Support Plan,464.94,Referral,APAC
100011,1466,2024-07-04,Consulting,464.94,Organic Search,LATAM
100012,2238,2025-11-26,SaaS Premium,464.94,Referral,APAC
100013,1330,2024-08-02,Support Plan,464.94,Email Campaign,EMEA
100014,2482,2024-09-07,Support Plan,464.94,Direct,North America
100015,3135,2024-08-03,SaaS Basic,464.94,Direct,EMEA
100016,4444,2024-01-29,SaaS Basic,464.94,Direct,North America
100017,4171,2024-04-11,Support Plan,464.94,Referral,North America
100018,3919,2024-05-02,Support Plan,464.94,Referral,EMEA
100019,4735,2024-02-23,SaaS Premium,464.94,Organic Search,APAC
100020,1130,2024-10-09,SaaS Basic,464.94,Direct,LATAM
100021,2685,2025-09-05,Support Plan,464.94,Organic Search,EMEA
100022,4380,2024-04-26,SaaS Premium,464.94,Email Campaign,North America
100023,1769,2025-09-07,Consulting,464.94,Organic Search,APAC
100024,3391,2025-07-10,SaaS Basic,464.94,Direct,EMEA
100025,2515,2024-04-23,SaaS Premium,464.94,Referral,APAC
100026,4485,2025-06-26,SaaS Premium,464.94,Organic Search,EMEA
100027,3853,2025-11-06,Consulting,464.94,Organic Search,EMEA
100028,3433,2025-12-01,SaaS Premium,464.94,Referral,APAC
100029,2215,2024-10-19,SaaS Premium,464.94,Referral,APAC
100030,1955,2024-07-13,SaaS Basic,464.94,Direct,APAC
100031,3324,2024-10-18,SaaS Basic,464.94,Email Campaign,APAC
100032,2184,2024-09-17,SaaS Premium,464.94,Direct,EMEA
100033,1459,2024-07-25,SaaS Basic,464.94,Organic Search,LATAM
100034,4385,2025-07-17,SaaS Basic,464.94,Direct,APAC
100035,1021,2024-02-18,SaaS Premium,464.94,Direct,EMEA
100036,3300,2024-01-06,SaaS Basic,464.94,Referral,APAC
100037,1747,2025-01-13,SaaS Basic,464.94,Email Campaign,LATAM
